year,country,e_waste_recycled
2008,Austria,46
2008,Belgium,28.3
2008,Greece,21.6
2008,Finland,37.9
2008,Hungary,28.3
2008,Lithuania,15.2
2008,Luxembourg,36.6
2008,Netherlands,22.5
2008,Portugal,21.8
2008,Sweden,62.4
2008,Slovakia,31.8
2009,Austria,36.1
2009,Belgium,30.8
2009,Cyprus,10.9
2009,Germany,38.1
2009,Denmark,39
2009,Estonia,22.4
2009,Greece,29
2009,Spain,12.6
2009,Finland,29.9
2009,France,19.2
2009,Hungary,29.5
2009,Lithuania,10.5
2009,Luxembourg,38
2009,Malta,12.1
2009,Netherlands,22
2009,Poland,13.9
2009,Portugal,24
2009,Romania,17
2009,Sweden,52.2
2009,Slovenia,17.6
2009,Slovakia,34.2
2010,Austria,35.7
2010,Belgium,30.4
2010,Bulgaria,40.8
2010,Cyprus,11.5
2010,Czechia,22.7
2010,Germany,37.8
2010,Denmark,41
2010,Estonia,30.3
2010,Greece,19.4
2010,Spain,14.7
2010,Finland,28.7
2010,France,21.8
2010,Hungary,26
2010,Ireland,30.9
2010,Italy,27.8
2010,Lithuania,16.6
2010,Luxembourg,33
2010,Latvia,14.5
2010,Malta,13.1
2010,Netherlands,27.8
2010,Poland,17.7
2010,Portugal,22.8
2010,Romania,12
2010,Sweden,55.3
2010,Slovenia,22
2010,Slovakia,34.9
2010,United Kingdom,26.9
2011,Austria,37.1
2011,Belgium,31.9
2011,Bulgaria,49.4
2011,Cyprus,11.5
2011,Czechia,26
2011,Germany,34.4
2011,Denmark,50.1
2011,Estonia,36.9
2011,Greece,19
2011,Spain,16.7
2011,Finland,31
2011,France,22.6
2011,Hungary,25.3
2011,Ireland,32.5
2011,Italy,29.8
2011,Lithuania,28.2
2011,Luxembourg,30.6
2011,Latvia,19.9
2011,Malta,9.7
2011,Netherlands,33
2011,Poland,23.9
2011,Portugal,30.5
2011,Romania,10.3
2011,Sweden,64.9
2011,Slovenia,26.4
2011,Slovakia,39.6
2011,United Kingdom,23.9
2012,Austria,38.2
2012,Belgium,32
2012,Bulgaria,62.4
2012,Cyprus,12.2
2012,Czechia,27.1
2012,Germany,34.8
2012,Denmark,46.5
2012,Estonia,35.9
2012,Greece,18.6
2012,Spain,19
2012,Finland,32.8
2012,France,22.6
2012,Hungary,30.8
2012,Ireland,36.1
2012,Italy,27.7
2012,Lithuania,41.1
2012,Luxembourg,27.6
2012,Latvia,26.5
2012,Malta,9.9
2012,Netherlands,33.2
2012,Poland,30.4
2012,Portugal,24.9
2012,Romania,14.5
2012,Sweden,62.6
2012,Slovenia,26.9
2012,Slovakia,42.6
2012,United Kingdom,22.5
2013,Austria,37.6
2013,Belgium,31.7
2013,Bulgaria,60.2
2013,Cyprus,12.1
2013,Czechia,28.5
2013,Germany,35.6
2013,Denmark,37.6
2013,Estonia,27.8
2013,Greece,22.1
2013,Spain,26.1
2013,Finland,36.3
2013,France,23.6
2013,Hungary,40
