country,avg_rate,min_rate,max_rate,improvement,trajectory
Croatia,69.6,35.7,89.2,47.7,Strong Growth
Bulgaria,68.7,40.8,105.2,25.900000000000006,Strong Growth
Sweden,55.9,45.4,64.9,-17,Declining
Denmark,44.7,37.6,67.5,28.5,Strong Growth
Ireland,42,30.9,53.5,22.6,Strong Growth
Slovakia,41.1,31.8,50.3,13.999999999999996,Strong Growth
Austria,40.7,35.7,50.1,0,Declining
Hungary,39.4,25.3,53.4,22.2,Strong Growth
Estonia,38.9,22.4,53.7,31.300000000000004,Strong Growth
Finland,38.3,28.7,49.2,11.300000000000004,Strong Growth
Luxembourg,37.1,27.6,45.6,7.5,Strong Growth
Germany,36.6,33.9,39,-1.2000000000000028,Declining
Czechia,35.8,22.7,54,20.900000000000002,Strong Growth
United Kingdom,35.7,22.5,67,40.1,Strong Growth
Lithuania,34.2,10.5,64.6,21.2,Strong Growth
Netherlands,33.8,22,43.3,18.5,Strong Growth
Belgium,33,28.3,39.3,10.999999999999996,Strong Growth
Portugal,32.6,21.8,45.8,21.7,Strong Growth
Slovenia,29,16.7,47.7,16,Strong Growth
Poland,28.9,13.9,39.1,25.200000000000003,Strong Growth
Italy,28.5,26.3,32.1,4.300000000000001,Modest Growth
France,27.6,19.2,37.1,15.000000000000004,Strong Growth
Latvia,27.3,14.5,43.3,28.799999999999997,Strong Growth
Spain,27.2,12.6,43,30.4,Strong Growth
Greece,26.8,18.6,35.8,14.199999999999996,Strong Growth
Cyprus,19.9,10.9,50.2,39.300000000000004,Strong Growth
Romania,18,10.3,25,8,Strong Growth
Malta,13,9.7,20.8,8.700000000000001,Strong Growth
