year,avg_ewaste,year_lag,yoy_change,direction
2008,32,NA,NA,NA
2009,25.7,32,-6.300000000000001,Decline
2010,26.5,25.7,0.8000000000000007,Improvement
2011,29.4,26.5,2.8999999999999986,Improvement
2012,31.1,29.4,1.7000000000000028,Improvement
2013,31.7,31.1,0.5999999999999979,Improvement
2014,35.5,31.7,3.8000000000000007,Improvement
2015,40.2,35.5,4.700000000000003,Improvement
2016,44.8,40.2,4.599999999999994,Improvement
2017,44.6,44.8,-0.19999999999999574,Decline
2018,47.8,44.6,3.1999999999999957,Improvement
